anio,L_PREPAGO_E,L_POSPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,L_NO_ESPECIFICADO_E,L_TOTAL_E
2010,3.265733,1.555198,0.0,0.0,0.0,4.820931
2011,9.677112,4.724948,0.0,0.0,0.0,14.40206
2012,17.744249,6.7363,0.0,0.0,0.0,24.480549
2013,25.323884,9.290518,0.0,0.0,0.0,34.614402
2014,38.020983,13.431767,0.0,0.0,0.0,51.45275
2015,49.518911,14.400705,0.0,0.0,0.0,63.919616
2016,56.237982,18.829305,0.003156,0.0,0.002577,75.07302
2017,60.672921,0.0,1.234836,19.167611,0.027684,81.103052
2018,67.787906,0.0,3.538227,16.941395,0.023308,88.290836
2019,78.906429,0.0,3.528042,14.980503,0.041685,97.456659
2020,82.23893,0.0,3.378556,15.730793,0.02924,101.377519
2021,87.638323,0.0,3.64165,15.139347,3.057411,109.476731
2022,90.548023,0.0,3.807814,15.162569,10.381389,119.899795
2023,89.3291,0.0,3.665192,15.40371,17.80668,126.204682
2024,91.278879,0.0,4.086702,16.110098,24.333269,135.808948
