periodo,CVE_ENT,NOM_ENT,Hombres,Mujeres
2025,1,AGUASCALIENTES,1.3925757912249057,1.24697019750786
2025,2,BAJA CALIFORNIA,2.95316525932006,3.019093787466547
2025,3,BAJA CALIFORNIA SUR,0.8130910501852675,0.7236912923569172
2025,4,CAMPECHE,0.644984548079179,0.66579561778276
2025,7,CHIAPAS,3.2506701401869917,2.9106055150757033
2025,8,CHIHUAHUA,3.1111422075651176,3.1711963683200515
2025,9,CIUDAD DE MEXICO,9.18129766430821,9.973423110758073
2025,5,COAHUILA DE ZARAGOZA,1.7695854865887257,2.1278771524125206
2025,6,COLIMA,0.5388040814327947,0.5769523434803104
2025,10,DURANGO,1.555159191798519,1.8804169899074634
2025,11,GUANAJUATO,3.6345140935395257,3.7146956092454912
2025,12,GUERRERO,2.666404899501598,2.657837398434339
2025,13,HIDALGO,2.8891390528994774,2.5580719877360276
2025,14,JALISCO,8.224141848099393,8.146818753781453
2025,15,MEXICO,12.047752550199307,13.821875452382454
2025,16,MICHOACAN DE OCAMPO,3.7194375811785694,4.603648012115498
2025,17,MORELOS,1.1881166061330097,1.3093850568099565
2025,18,NAYARIT,1.2005203782721185,1.0091701403452769
2025,19,NUEVO LEON,4.838225339293642,4.529893432613109
2025,20,OAXACA,3.682968866647962,3.111463325006403
2025,21,PUEBLA,5.6109142055795855,5.3082603644300255
2025,22,QUERETARO,2.7293636157100214,1.9981013856358594
2025,23,QUINTANA ROO,1.5317324229034202,1.6047374418630547
2025,24,SAN LUIS POTOSI,1.945106404407528,2.3125883885719376
2025,25,SINALOA,1.7941609677773438,1.89939385390877
2025,26,SONORA,1.8588601571577656,1.5486976953085851
2025,27,TABASCO,2.0962490946638717,1.8497199404618292
2025,28,TAMAULIPAS,2.4429281442169994,2.0711785514110623
2025,29,TLAXCALA,1.396462847975702,1.1710163433021412
2025,30,VERACRUZ DE IGNACIO DE LA LLAVE,6.1228685875456845,5.559348866213573
2025,31,YUCATAN,1.692819016549115,1.6227770622144189
2025,32,ZACATECAS,1.4768378990585898,1.2952985631405272
