categoria,porcentaje
"Niños, niñas y adolescentes",46.460974614799454
Personas adultas mayores,20.455366773860366
Mujeres,12.243594730389894
Parientes (familiares),6.7403138577653285
Hombres,1.5248333709522748
Personas con discapacidad,1.0374820380521628
Todas las personas son vulnerables,23.746002107385973
