categoria,porcentaje
"Niños, niñas y adolescentes",56.296538446656385
Mujeres,43.2485195501831
Todas las personas son vulnerables,29.070113481535802
Personas adultas mayores,10.763209363547466
Personas con discapacidad,9.938943860728852
Personas de la comunidad LGBTIQ+,9.008133500210617
Personas indígenas,5.295601634185687
Hombres,4.974237513318891
Personas afrodescendientes,3.6840388258522663
