anio,ihh
2013,5229.0
2014,5084.0
2015,5227.0
2016,4873.0
2017,4759.0
2018,4576.0
2019,4558.0
2020,4549.0
2021,4555.0
2022,4161.0
2023,3812.0
2024,3589.0
