anio,grupo_edad,poblacion_expandida_con_respuesta,horas_promedio
2025,6 a 11,9952930,2.5349503111144154
2025,12 a 17,13135523,4.345559746650362
2025,18 a 24,13988628,5.881527194804237
2025,25 a 34,18235269,5.591623737494632
2025,35 a 44,17212070,4.736806961626347
2025,45 a 54,15145496,3.957041750233865
2025,55 a 64,10444722,3.2655870591864486
2025,65 o más,6789352,2.900961240483628
