anio,teledensidad
1990,0.1
1991,0.2
1992,0.4
1993,1.0
1994,1.0
1995,1.0
1996,1.0
1997,2.0
1998,4.0
1999,8.0
2000,14.0
2001,22.0
2002,25.0
2003,29.0
2004,37.0
2005,44.0
2006,51.0
2007,61.0
2008,68.0
2009,74.0
2010,79.0
2011,82.0
2012,86.0
2013,90.0
2014,87.0
2015,89.0
2016,92.0
2017,93.0
2018,97.0
2019,97.0
2020,96.0
2021,98.0
2022,104.0
2023,110.0
2024,115.0
