figure_id,role,path,sha256,bytes,modified_at
A.2,dato_crudo,data/raw/inegi_enoe_a2/enoe_2024_trim4_csv.zip,817f28d20a43fa4fed08195e62df58bf320b31c323a3049fe09b5194a1677305,43410469,2026-08-31T22:23:41+00:00
A.2,dato_crudo,data/raw/inegi_enoe_a2/enoe_2025_trim2_csv.zip,291db61afcc472a0933d2bebf46720cfd024df8912dc899d541d8109bd406722,38752236,2026-09-09T20:24:43+00:00
A.2,dato_crudo,data/raw/inegi_enoe_a2/enoe_2025_trim4_csv.zip,e675b41bde4fb3c183a0abd067738109c6aaf30ed314bc9fc548669fb8a1565d,43383478,2026-09-09T20:25:37+00:00
A.2,dato_crudo,data/raw/inegi_enoe_a2/enoe_2026_trim2_csv.zip,020811fa989a3e4e3e0daae39b32df6bb055f3ca59653b76ecc454f9b231d91e,35213597,2026-09-09T20:26:26+00:00
A.2,datos_usados,reportes/20260915T192133067416Z_corrida/datos_usados/a_2_datos_usados.csv,5f6e4eb3371483d13914734f5746b5a584d0c477cfaaee99196163752d6b1fc2,2457,2026-09-15T19:24:38+00:00
A.2,texto_generado,build/text/a_2.md,746d06fcdb92a400d1b7c527d06e5ac2914d079a10ef9bff0b7f152c24424b91,323,2026-09-15T19:24:38+00:00
A.2,texto_copia_corrida,reportes/20260915T192133067416Z_corrida/textos/a_2_parrafo.md,746d06fcdb92a400d1b7c527d06e5ac2914d079a10ef9bff0b7f152c24424b91,323,2026-09-15T19:24:38+00:00
A.2,grafica,build/figures/A/figura_a_2.png,8c3c62c4f4584769185b3c8fb017c43e83f6ec7dadeaf80c2e7d26cd0b99fed9,248277,2026-09-15T19:24:38+00:00
A.2,metadatos,build/metadata/a_2.json,dec509d659696c77ffe151bfe8d85be334f5302a03fca8420acc7bf493d0d810,797,2026-09-15T19:24:38+00:00
A.3,dato_crudo,data/raw/inegi_inpc_dynamic/objects/f883f3859247e8509bae82527a1ac108bbff457a48e3f31ac56a3d43b3e9131c/inpc_ipcom_hasta_2024.csv,f883f3859247e8509bae82527a1ac108bbff457a48e3f31ac56a3d43b3e9131c,49405,2026-09-09T21:53:26+00:00
A.3,dato_crudo,data/raw/inegi_inpc_current_2026_07_reference/objects/5d75d854deb25a0e901d/conjunto_de_datos_inpc_indicador_mensual_csv.zip,5d75d854deb25a0e901def5adb4430eadb44cc253ff86bf39734efc9185144c1,34591,2026-09-09T21:53:59+00:00
