figure_id,source_id,owner,title,expected_period,detected_period,period_assessment,landing_page,exact_url,local_path,sha256,bytes,downloaded_at,source_last_modified,content_type,cache_status,verification_status
A.2,inegi_enoe_2018_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2018-T2,2018-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim2_csv.zip,data\raw\inegi_enoe_a2\2018trim2_csv.zip,2ca4002f7209b029a470caa3174353a2766ca9fc1f4e1ea3c87a063d1218c00f,26835694,2026-08-31T22:23:37+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2018_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2018-T4,2018-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2018trim4_csv.zip,data\raw\inegi_enoe_a2\2018trim4_csv.zip,9259fcb81747ebfad7fbbd75b9dc9a65825142bc10366c447f645489b3383774,26724182,2026-08-31T22:23:37+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2019_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2019-T2,2019-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2019trim2_csv.zip,data\raw\inegi_enoe_a2\2019trim2_csv.zip,721bf45739241179cca3685c42e65a0270cbe02019602571ee79cc1a157a8d36,28592043,2026-08-31T22:23:38+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2019_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2019-T4,2019-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2019trim4_csv.zip,data\raw\inegi_enoe_a2\2019trim4_csv.zip,d91658be67f515a26f501fc130731e866b7c77c992ed91471217074f4f18ad58,28058037,2026-08-31T22:23:38+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2020_q1,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2020-T1,2020-T1,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/2020trim1_csv.zip,data\raw\inegi_enoe_a2\2020trim1_csv.zip,8f24f571dee610e9ab147c7f2a01ac2770fef016cd13d8428160550b833b176b,27350239,2026-08-31T22:23:39+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2020_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2020-T4,2020-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_n_2020_trim4_csv.zip,data\raw\inegi_enoe_a2\enoe_n_2020_trim4_csv.zip,5d6ce8a6dcc2cace4a1e6e5cbaf9d9c61ad7bbbfa3217ecc9cd2184e2093f6f3,23007909,2026-08-31T22:23:42+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2021_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2021-T2,2021-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_n_2021_trim2_csv.zip,data\raw\inegi_enoe_a2\enoe_n_2021_trim2_csv.zip,a9bfb1f1291217714fd27a0dc5d30ee39064ad99f637867808d445294a25b96b,23887444,2026-08-31T22:23:42+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2021_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2021-T4,2021-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_n_2021_trim4_csv.zip,data\raw\inegi_enoe_a2\enoe_n_2021_trim4_csv.zip,1baabe0098ce5b1bdeeb4bba8eebe2d4b51eedae3745bc48dad1cd199b736a9b,27117836,2026-08-31T22:23:42+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2022_q2,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2022-T2,2022-T2,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_n_2022_trim2_csv.zip,data\raw\inegi_enoe_a2\enoe_n_2022_trim2_csv.zip,19e194fbdcc70549db19b718c6581ec2fadce883e9683369424bf758f76b705a,30537564,2026-08-31T22:23:43+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
A.2,inegi_enoe_2022_q4,INEGI,"ENOE, población de 15 años y más, microdatos CSV",2022-T4,2022-T4,AL_DIA,https://www.inegi.org.mx/programas/enoe/15ymas/#microdatos,https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/microdatos/enoe_n_2022_trim4_csv.zip,data\raw\inegi_enoe_a2\enoe_n_2022_trim4_csv.zip,1c22244fcd4a9f11625fa3cdb68d8c10f5143ba84c076b4e99a61ba822687e5d,29670618,2026-08-31T22:23:43+00:00,,application/x-zip-compressed,REUTILIZADO,VERIFICADO
