ANIO,A_TOTAL_E
1998,2160255.0
1999,2764567.0
2000,3227135.0
2001,3651092.0
2002,3764467.0
2003,4235001.0
2004,4765476.0
2005,5437201.0
2006,5918096.0
2007,6484917.0
2008,7009995.0
2009,8016972.0
2010,10056762.0
2011,11509409.0
2012,13013399.0
2013,13888277.0
2014,15318952.0
2015,17331005.0
2016,21005894.0
2017,23012285.0
2018,23969110.0
2019,23902945.0
2020,23529820.0
2021,25268212.0
2022,24675646.0
2023,23485338.0
2024,21787954.0
