codigo,percepcion,porcentaje
1,Nada,13.586908172197424
2,Poco,38.47375134170913
3,Le es indiferente,8.506206527999082
4,Algo,29.623667912572365
5,Mucho,6.569977369066987
9,NS/NR,3.2394886764550095
