K_ENTIDAD,ENTIDAD,valor
1,Aguascalientes,56
2,Baja California,79
3,Baja California Sur,54
4,Campeche,42
5,Coahuila de Zaragoza,65
6,Colima,61
7,Chiapas,20
8,Chihuahua,64
9,Ciudad de México,87
10,Durango,46
11,Guanajuato,51
12,Guerrero,36
13,Hidalgo,34
14,Jalisco,68
15,México,69
16,Michoacán de Ocampo,35
17,Morelos,68
18,Nayarit,46
19,Nuevo León,79
20,Oaxaca,22
21,Puebla,47
22,Querétaro,64
23,Quintana Roo,51
24,San Luis Potosí,48
25,Sinaloa,56
26,Sonora,55
27,Tabasco,25
28,Tamaulipas,59
29,Tlaxcala,43
30,Veracruz de Ignacio de la Llave,39
31,Yucatán,44
32,Zacatecas,36
