tecnologia,residencial_previo,no_residencial_previo,residencial_actual,no_residencial_actual,residencial_pct,residencial_crecimiento,no_residencial_pct,no_residencial_crecimiento
Fibra óptica,15411469.0,1978818.0,18259601.0,1867428.0,72.18208768283398,18.480600389229608,80.11050742900777,-5.629117988617449
Cable coaxial,5431212.0,227503.0,5406666.0,212737.0,21.37310882553224,-0.4519433231477632,9.126171942867316,-6.490463862015005
DSL,1903387.0,364999.0,1434591.0,245000.0,5.671086315139333,-24.62956823809346,10.51021743280432,-32.876528428845006
Tecnología móvil,513971.0,0.0,194800.0,0.0,0.7700645091103613,-62.099028933539046,0.0,
Satelital,115781.0,12711.0,924.0,5900.0,0.0036526673840758406,-99.20194159663502,0.25310319532059383,-53.583510345370144
