edad,nivel,porcentaje
18 a 24 años,Muy seguro,5.153467091544617
18 a 24 años,Seguro,58.79744321943037
18 a 24 años,Ni seguro ni inseguro,9.593078492063633
18 a 24 años,Inseguro,11.249934161808676
18 a 24 años,NS/NR,14.9173894385146
25 a 34 años,Muy seguro,4.797298206849461
25 a 34 años,Seguro,52.75647950549867
25 a 34 años,Ni seguro ni inseguro,7.477511547938004
25 a 34 años,Inseguro,16.40402779912885
25 a 34 años,NS/NR,17.074650033222305
35 a 44 años,Muy seguro,4.407522058962556
35 a 44 años,Seguro,47.403361087294016
35 a 44 años,Ni seguro ni inseguro,7.402849234045155
35 a 44 años,Inseguro,19.786837798554938
35 a 44 años,NS/NR,20.047664726561155
45 a 54 años,Muy seguro,6.786292726280594
45 a 54 años,Seguro,45.41020839606331
45 a 54 años,Ni seguro ni inseguro,7.933686500503814
45 a 54 años,Inseguro,18.4669261799477
45 a 54 años,NS/NR,19.950005604224035
55 años o más,Muy seguro,3.5212573728730554
55 años o más,Seguro,33.929989466653225
55 años o más,Ni seguro ni inseguro,6.824810687127808
55 años o más,Inseguro,20.95044515847807
55 años o más,NS/NR,32.085565838230096
