K_ENTIDAD,ENTIDAD,valor
1,Aguascalientes,91
2,Baja California,107
3,Baja California Sur,120
4,Campeche,109
5,Coahuila de Zaragoza,108
6,Colima,108
7,Chiapas,70
8,Chihuahua,105
9,Ciudad de México,125
10,Durango,105
11,Guanajuato,89
12,Guerrero,95
13,Hidalgo,110
14,Jalisco,108
15,México,107
16,Michoacán de Ocampo,104
17,Morelos,108
18,Nayarit,107
19,Nuevo León,97
20,Oaxaca,77
21,Puebla,93
22,Querétaro,103
23,Quintana Roo,111
24,San Luis Potosí,103
25,Sinaloa,109
26,Sonora,128
27,Tabasco,106
28,Tamaulipas,112
29,Tlaxcala,112
30,Veracruz de Ignacio de la Llave,89
31,Yucatán,104
32,Zacatecas,97
