periodo,codigo,medida,Hombres,Mujeres
2025,1,"Crear o poner contraseñas (claves, huella digital, patrón, etcétera)",88.25227124741151,89.48515063735475
2025,2,"Instalar o actualizar programas antivirus, cortafuegos o antiespías",50.14414763298915,46.46895376371819
2025,3,Bloquear ventanas emergentes del navegador,11.152544814494979,7.259564396792382
2025,4,Cambiar periódicamente las contraseñas,11.277888974846235,9.321061058354084
2025,5,No ingresar a sitios web inseguros o desconocidos,17.646984286992115,15.544848548479939
2025,6,No abrir ni guardar archivos que envían personas desconocidas,10.61224705178388,10.589660401523005
2025,7,No publicar su correo o número telefónico en redes sociales,10.462064628353875,10.347862395967809
2025,8,Otra,10.423735054314626,10.775263131049046
