anio,trafico_millones_minutos
1997,77.29344
1998,508.047708
1999,2605.790561
2000,4555.774686
2001,6409.844683
2002,8584.678368
2003,12299.375292
2004,18979.54132
2005,25877.465
2006,33082.503711
2007,50826.139722
2008,74770.068664
2009,94143.814144
2010,100480.259736
2011,114910.386678
2012,135079.682168
2013,142104.102513
2014,144788.757506
2015,142431.522346
2016,221969.004874
2017,274561.7978
2018,294792.29265
2019,306524.12941763
2020,315894.96978891996
2021,323202.41616547
2022,323870.56009444
2023,308451.80234658
2024,299342.13763571
