anio,decil,gasto_promedio_mensual_pesos,ingreso_promedio_mensual_pesos,gasto_pct_ingreso,hogares_expandidos
2024,1,178,5830.58,3.0,2298848
2024,2,216,9460.86,2.3,2852448
2024,3,256,12285.21,2.1,3095060
2024,4,302,15095.17,2.0,3212255
2024,5,347,18112.82,1.9,3279685
2024,6,386,21529.34,1.8,3361267
2024,7,442,25826.33,1.7,3418089
2024,8,523,31759.62,1.6,3480719
2024,9,630,41243.19,1.5,3530963
2024,10,948,78891.7,1.2,3537493
