grupo,nivel,porcentaje
Total,NS/NR,12.775777704362682
Total,Inseguro,18.344089235643445
Total,Ni seguro ni inseguro,15.448953469410071
Total,Seguro,48.76569625302902
Total,Muy seguro,3.5459732981587324
Mujeres,NS/NR,14.683539922807395
Mujeres,Inseguro,22.089477454633084
Mujeres,Ni seguro ni inseguro,16.207732517885315
Mujeres,Seguro,43.074508312807716
Mujeres,Muy seguro,2.8164104792336397
Hombres,NS/NR,10.539152747569629
Hombres,Inseguro,13.953065719987384
Hombres,Ni seguro ni inseguro,14.55937501979859
Hombres,Seguro,55.437939186572336
Hombres,Muy seguro,4.401299183418391
