ANIO,256 Kbps a 1.99 Mbps,2 a 9.99 Mbps,10 a 100 Mbps,Mayores a 100 Mbps,Sin información de velocidad
2013,5.019008749998189,85.66150337292007,9.210811247693035,0.10867662938870443,
2014,4.934726211115313,83.32838752195192,11.548906429617203,0.1879798373155696,
2015,5.328337141053087,20.869402667374302,72.86767979206034,0.9211341358302786,0.013446263681984288
2016,3.642320122286081,17.821961620000437,76.47568561886982,2.05394119343724,0.00609144540642532
2017,2.263594643963624,14.10545889228317,81.58442213579592,2.0461066927396527,0.0004176352176367705
2018,1.7386262372732164,10.836312811428995,84.56914132203856,1.9974377577766014,0.8584818714826362
2019,1.4466449123073897,5.296321159820961,88.49633360230033,3.8091761838543743,0.9515241417169464
2020,1.0796715102495447,5.916886689179593,83.20735136935221,7.768123408140025,2.027967023078629
2021,0.5004613950449927,6.438514406556707,79.72641159335693,10.74061018121321,2.5940024238281634
2022,0.011462953172930722,4.476928429629372,69.25000176396662,21.697238503644655,4.564368349586415
2023,0.012586897328932504,5.292216602546775,64.33863956749424,25.050807444646118,5.305749487983936
2024,0.009546572900269359,2.398543414083225,52.911205851402556,40.57293134960694,4.107772812007016
