order,figure_id,status,message,script_path,output_path,started_at,finished_at,duration_seconds
1,A.1,OK,Gráfica generada y verificada.,scripts\figures\figura_a_1.py,build\figures\A\figura_a_1.png,2026-09-18T23:57:30+00:00,2026-09-18T23:57:33+00:00,2.749
2,A.2,OK,Gráfica generada y verificada.,scripts\figures\figura_a_2.py,build\figures\A\figura_a_2.png,2026-09-18T23:57:33+00:00,2026-09-19T00:01:22+00:00,228.873
3,A.3,OK,Gráfica generada y verificada.,scripts\figures\figura_a_3.py,build\figures\A\figura_a_3.png,2026-09-19T00:01:22+00:00,2026-09-19T00:01:23+00:00,1.216
4,A.4,OK,Gráfica generada y verificada.,scripts\figures\figura_a_4.py,build\figures\A\figura_a_4.png,2026-09-19T00:01:23+00:00,2026-09-19T00:01:27+00:00,3.875
5,A.5,OK,Gráfica generada y verificada.,scripts\figures\figura_a_5.py,build\figures\A\figura_a_5.png,2026-09-19T00:01:27+00:00,2026-09-19T00:02:24+00:00,57.029
6,A.6,ERROR,OSError: [Errno 22] Invalid argument: 'C:\\Users\\gustavo.garcia\\Documents\\GitHub\\Anuario-Estadistico-2026-7\\build\\figures\\A\\figura_a_6.png',scripts\figures\figura_a_6.py,build\figures\A\figura_a_6.png,2026-09-19T00:02:24+00:00,2026-09-19T00:02:28+00:00,3.981
7,A.7,OK,Gráfica generada y verificada.,scripts\figures\figura_a_7.py,build\figures\A\figura_a_7.png,2026-09-19T00:02:28+00:00,2026-09-19T00:03:09+00:00,41.127
8,A.8,OK,Gráfica generada y verificada.,scripts\figures\figura_a_8.py,build\figures\A\figura_a_8.png,2026-09-19T00:03:09+00:00,2026-09-19T00:03:48+00:00,39.008
9,A.9,OK,Gráfica generada y verificada.,scripts\figures\figura_a_9.py,build\figures\A\figura_a_9.png,2026-09-19T00:03:48+00:00,2026-09-19T00:04:26+00:00,38.39
10,A.10,OK,Gráfica generada y verificada.,scripts\figures\figura_a_10.py,build\figures\A\figura_a_10.png,2026-09-19T00:04:26+00:00,2026-09-19T00:05:09+00:00,42.68
11,B.1,ERROR,"SyntaxError: unmatched ')' (figura_b_1.py, line 270)",scripts\figures\figura_b_1.py,build\figures\B\figura_b_1.png,2026-09-19T00:05:09+00:00,2026-09-19T00:05:09+00:00,0.048
12,B.2,OK,Gráfica generada y verificada.,scripts\figures\figura_b_2.py,build\figures\B\figura_b_2.png,2026-09-19T00:05:09+00:00,2026-09-19T00:05:11+00:00,2.143
13,B.3,ERROR,"SyntaxError: invalid decimal literal (figura_b_3.py, line 187)",scripts\figures\figura_b_3.py,build\figures\B\figura_b_3.png,2026-09-19T00:05:11+00:00,2026-09-19T00:05:11+00:00,0.018
14,B.4,OK,Gráfica generada y verificada.,scripts\figures\figura_b_4.py,build\figures\B\figura_b_4.png,2026-09-19T00:05:11+00:00,2026-09-19T00:05:16+00:00,4.362
15,B.5,OK,Gráfica generada y verificada.,scripts\figures\figura_b_5.py,build\figures\B\figura_b_5.png,2026-09-19T00:05:16+00:00,2026-09-19T00:05:19+00:00,3.45
16,B.6,ERROR,"SyntaxError: invalid decimal literal (figura_b_6.py, line 660)",scripts\figures\figura_b_6.py,build\figures\B\figura_b_6.png,2026-09-19T00:05:19+00:00,2026-09-19T00:05:19+00:00,0.044
17,B.7,ERROR,"SyntaxError: invalid decimal literal (figura_b_7.py, line 660)",scripts\figures\figura_b_7.py,build\figures\B\figura_b_7.png,2026-09-19T00:05:19+00:00,2026-09-19T00:05:19+00:00,0.04
18,B.8,OK,Gráfica generada y verificada.,scripts\figures\figura_b_8.py,build\figures\B\figura_b_8.png,2026-09-19T00:05:19+00:00,2026-09-19T00:05:23+00:00,3.494
19,B.9,ERROR,"SyntaxError: invalid decimal literal (figura_b_9.py, line 698)",scripts\figures\figura_b_9.py,build\figures\B\figura_b_9.png,2026-09-19T00:05:23+00:00,2026-09-19T00:05:23+00:00,0.048
20,B.10,OK,Gráfica generada y verificada.,scripts\figures\figura_b_10.py,build\figures\B\figura_b_10.png,2026-09-19T00:05:23+00:00,2026-09-19T00:05:26+00:00,2.863
21,B.11,OK,Gráfica generada y verificada.,scripts\figures\figura_b_11.py,build\figures\B\figura_b_11.png,2026-09-19T00:05:26+00:00,2026-09-19T00:05:29+00:00,3.088
22,B.12,OK,Gráfica generada y verificada.,scripts\figures\figura_b_12.py,build\figures\B\figura_b_12.png,2026-09-19T00:05:29+00:00,2026-09-19T00:05:32+00:00,2.889
23,B.13,ERROR,"SyntaxError: invalid decimal literal (figura_b_13.py, line 660)",scripts\figures\figura_b_13.py,build\figures\B\figura_b_13.png,2026-09-19T00:05:32+00:00,2026-09-19T00:05:32+00:00,0.041
